input	chunk	run	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	fold_bytes	encode_us	decode_us	ok
corpus_set/random/random.bin	3	2	context	65536	80980	3702	77278	0	70158	198353	34684	1
corpus_set/random/random.bin	4	0	fold	65536	70179	4904	65275	0	70179	0	0	1
corpus_set/random/random.bin	4	0	order0	65536	69451	3718	65733	0	70179	0	0	1
corpus_set/random/random.bin	4	0	order1_tok	65536	80736	3718	77018	0	70179	0	0	1
corpus_set/random/random.bin	4	0	order1_byte	65536	66537	10	66527	0	70179	0	0	1
corpus_set/random/random.bin	4	0	context	65536	81031	3722	77309	0	70179	198804	34175	1
corpus_set/random/random.bin	4	1	context	65536	81031	3722	77309	0	70179	189120	33676	1
corpus_set/random/random.bin	4	2	context	65536	81031	3722	77309	0	70179	187284	28186	1
corpus_set/random/random.bin	5	0	fold	65536	70277	5014	65263	0	70277	0	0	1
corpus_set/random/random.bin	5	0	order0	65536	69539	3806	65733	0	70277	0	0	1
corpus_set/random/random.bin	5	0	order1_tok	65536	80892	3806	77086	0	70277	0	0	1
corpus_set/random/random.bin	5	0	order1_byte	65536	66509	10	66499	0	70277	0	0	1
corpus_set/random/random.bin	5	0	context	65536	81172	3810	77362	0	70277	198489	23731	1
corpus_set/random/random.bin	5	1	context	65536	81172	3810	77362	0	70277	191151	26552	1
corpus_set/random/random.bin	5	2	context	65536	81172	3810	77362	0	70277	204806	33869	1
corpus_set/random/random.bin	6	0	fold	65536	70470	5214	65256	0	70470	0	0	1
corpus_set/random/random.bin	6	0	order0	65536	69698	3966	65732	0	70470	0	0	1
corpus_set/random/random.bin	6	0	order1_tok	65536	81197	3966	77231	0	70470	0	0	1
corpus_set/random/random.bin	6	0	order1_byte	65536	66505	10	66495	0	70470	0	0	1
corpus_set/random/random.bin	6	0	context	65536	81538	3970	77568	0	70470	210746	34131	1
corpus_set/random/random.bin	6	1	context	65536	81538	3970	77568	0	70470	201787	39720	1
corpus_set/random/random.bin	6	2	context	65536	81538	3970	77568	0	70470	212210	34802	1
corpus_set/random/random.bin	7	0	fold	65536	70295	5034	65261	0	70295	0	0	1
corpus_set/random/random.bin	7	0	order0	65536	69555	3822	65733	0	70295	0	0	1
corpus_set/random/random.bin	7	0	order1_tok	65536	80921	3822	77099	0	70295	0	0	1
corpus_set/random/random.bin	7	0	order1_byte	65536	66508	10	66498	0	70295	0	0	1
corpus_set/random/random.bin	7	0	context	65536	81237	3826	77411	0	70295	202699	34660	1
corpus_set/random/random.bin	7	1	context	65536	81237	3826	77411	0	70295	193972	31285	1
corpus_set/random/random.bin	7	2	context	65536	81237	3826	77411	0	70295	204157	34497	1
corpus_set/random/random.bin	8	0	fold	65536	70537	5274	65263	0	70537	0	0	1
