input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
random.bin	0	2	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	31966	14385	1
random.bin	0	0	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	26070	55931	1
random.bin	0	1	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	25341	56864	1
random.bin	0	2	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	24776	55975	1
random.bin	0	0	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	33699	15724	1
random.bin	0	1	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	33396	15418	1
random.bin	0	2	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	32864	15691	1
random.bin	0	0	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	26989	64562	1
random.bin	0	1	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	26907	64255	1
random.bin	0	2	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	26293	64071	1
random.bin	0	0	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	32508	15132	1
random.bin	0	1	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	32442	15175	1
random.bin	0	2	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	32801	14990	1
in.bin	0	0	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	32117	14466	1
in.bin	0	1	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	33041	14260	1
in.bin	0	2	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048913	1.000668	32513	14236	1
in.bin	0	0	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	25598	55947	1
in.bin	0	1	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	24068	54875	1
in.bin	0	2	arith-lit	1048576	0	0	8391192	8391304	1048913	1048913	1.000000	24175	54475	1
in.bin	0	0	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	30113	12845	1
in.bin	0	1	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	28844	13471	1
in.bin	0	2	tans-tok	1048576	1280	40984	8680319	8754184	1094273	1056356	1.035894	28714	13478	1
in.bin	0	0	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	22760	60490	1
in.bin	0	1	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	23327	60370	1
in.bin	0	2	arith-tok	1048576	0	0	8417968	8450848	1056356	1056356	1.000000	22867	60875	1
in.bin	0	0	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	28566	12698	1
in.bin	0	1	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	29303	12704	1
in.bin	0	2	tans-recut	1048582	256	8216	8388631	8396912	1049614	1048582	1.000984	29271	12420	1
z.zst	0	0	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048912	1.000669	29899	11991	1
z.zst	0	1	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048912	1.000669	29041	12588	1
z.zst	0	2	tans-lit	1048576	256	8216	8388583	8396912	1049614	1048912	1.000669	28773	12178	1
z.zst	0	0	arith-lit	1048576	0	0	8391184	8391296	1048912	1048912	1.000000	21884	52196	1
z.zst	0	1	arith-lit	1048576	0	0	8391184	8391296	1048912	1048912	1.000000	21493	51709	1
z.zst	0	2	arith-lit	1048576	0	0	8391184	8391296	1048912	1048912	1.000000	21525	54713	1
z.zst	0	0	tans-tok	1048576	1280	40984	8680293	8754160	1094270	1056356	1.035891	29699	13419	1
z.zst	0	1	tans-tok	1048576	1280	40984	8680293	8754160	1094270	1056356	1.035891	29760	13068	1
